id;relation;mots;mots_rel;Label
34;(('EG', 'ET'), ('amod',));('Emplacement', 'locatif', 'de', 'qualité', ',', 'proche');('Emplacement', 'proche');1
35;(('ET', 'EG'), ('root',));('Plages', 'et', 'vieille ville', 'à', 'proximité');('proximité', 'Plages');0
36;(('ET', 'EG', 'EG'), ('root', 'conj'));('Plages', 'et', 'vieille ville', 'à', 'proximité');('proximité', 'Plages', 'vieille ville');0
37;(('ET', 'EG'), ('nmod',));('minutes', 'à', 'pied', 'de', 'la', 'vieille ville historique');('minutes', 'vieille ville historique');1
38;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('minutes', 'à', 'pied', 'de', 'la', 'vieille ville historique', ',', 'des', 'plages');('minutes', 'vieille ville historique', 'plages');1
39;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('minutes', 'à', 'pied', 'de', 'la', 'vieille ville historique', ',', 'des', 'plages', ',', 'des', 'restaurants');('minutes', 'vieille ville historique', 'restaurants');1
40;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('minutes', 'à', 'pied', 'de', 'la', 'vieille ville historique', ',', 'des', 'plages', ',', 'des', 'restaurants', 'et', 'de', 'les', 'magasins');('minutes', 'vieille ville historique', 'magasins');1
41;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('Plages', 'et', 'vieille ville', 'à', 'proximité');('Plages', 'à', 'proximité');1
42;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'parc');('vue', 'parc');1
43;(('ET', 'MD', 'EG'), ('nmod', 'nmod'));('minutes', 'à', 'pied', 'de', 'le', 'centre ville');('minutes', 'pied', 'centre ville');1
44;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'la', 'croisette');('minutes', 'croisette');1
45;(('TOPONYME', 'ET'), ('nmod',));('Cannes', 'Oxford', ',', 'superbe', 'appartement', 'de', '2', 'pièces', 'avec', 'terrasse', 'de', '10', 'm²', 'plein', 'sud', 'avec', '.', 'vue');('Cannes', 'vue');0
46;(('ET', 'TOPONYME'), ('obl:arg',));('proche', 'de', 'le', 'Palm Beach');('proche', 'Palm Beach');1
47;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
48;(('TOPONYME', 'VERB', 'ET'), ('acl', 'obl:arg'));('Cannes', 'Basse Californie', ',', 'appartement', 'lumineux', 'de', '40', 'm²', 'dans', 'résidence', 'à', 'le', 'calme', '.', 'idéalement', 'situé', 'avec', 'vue');('Cannes', 'situé', 'vue');0
49;(('TOPONYME', 'ET'), ('amod',));('CANNES', ',', 'Très', 'joli', 'appartement', 'de', '40', 'm²', 'quartier', 'Basse Californie', ',', 'proche');('CANNES', 'proche');0
50;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'le', 'centre ville', 'de', 'Nice');('minutes', 'centre ville', 'Nice');0
51;(('ET', 'ET', 'EG'), ('conj', 'appos'));('vue', 'dégagée', 'et', 'un', 'aperçu', 'mer');('vue', 'aperçu', 'mer');0
52;(('ET', 'EG'), ('appos',));('aperçu', 'mer');('aperçu', 'mer');1
53;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'le', 'centre ville');('minutes', 'centre ville');1
54;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
55;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
56;(('TOPONYME', 'NOUN', 'ET'), ('appos', 'nmod'));('Cannes', 'Croix de les Gardes', ',', 'très', 'bel', 'appartement', 'de', '2', 'pièces', 'avec', 'vue');('Cannes', 'appartement', 'vue');0
57;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'tous', 'commerces');('proximité', 'commerces');1
58;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'tous', 'commerces');('proximité', 'commerces');1
59;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('pas', 'de', 'le', 'Festival', 'de', 'Cannes');('pas', 'Festival', 'Cannes');0
60;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('pas', 'de', 'le', 'Festival', 'de', 'Cannes', ',', 'de', 'le', 'Carré d Or');('pas', 'Festival', 'Carré d Or');1
61;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'la', 'plage', 'de', 'la Croisette');('m', 'plage', 'la Croisette');0
62;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'Festival');('pas', 'Festival');1
63;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'plage');('m', 'plage');1
64;(('EG', 'ET'), ('conj',));('Festival', 'de', 'Cannes', ',', 'de', 'le', 'Carré d Or', 'et', 'à', '200', 'm');('Festival', 'm');0
65;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('pas', 'de', 'la', 'faculté', 'de', 'les Sciences');('pas', 'faculté', 'les Sciences');0
66;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'faculté');('pas', 'faculté');1
67;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('pas', 'de', 'le', 'Festival', 'de', 'Cannes');('pas', 'Festival', 'Cannes');0
68;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('pas', 'de', 'le', 'Festival', 'de', 'Cannes', ',', 'de', 'le', 'Carré d Or');('pas', 'Festival', 'Carré d Or');1
69;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'la', 'plage', 'de', 'la Croisette');('m', 'plage', 'la Croisette');0
70;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'Festival');('pas', 'Festival');1
71;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'plage');('m', 'plage');1
72;(('EG', 'ET'), ('conj',));('Festival', 'de', 'Cannes', ',', 'de', 'le', 'Carré d Or', 'et', 'à', '200', 'm');('Festival', 'm');0
73;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('vue', 'sur', 'la', 'mer', ',', 'les', 'îles', 'de', 'Lérins', ',', 'l', 'Estérel');('vue', 'mer', 'Estérel');1
74;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'la', 'mer');('vue', 'mer');1
75;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'sur', 'la', 'mer', ',', 'les', 'îles');('vue', 'mer', 'îles');1
76;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'sur', 'la', 'mer', ',', 'les', 'îles', 'de', 'Lérins', ',', 'l', 'Estérel', 'et', 'la', 'ville');('vue', 'mer', 'ville');1
77;(('ET', 'EG'), ('nsubj',));('plages de sable fin', 'sont', 'à', '50', 'm');('m', 'plages de sable fin');1
78;(('ET', 'EG'), ('nsubj',));('pinède', 'est', 'à', '5', 'min');('min', 'pinède');1
79;(('EG', 'ET'), ('nmod',));('Commerces', 'et', 'restaurants', 'à', 'le', 'pied');('Commerces', 'pied');1
80;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('pied', 'de', 'la', 'rue', 'd', 'antibes');('pied', 'rue', 'antibes');0
81;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('pied', 'de', 'la', 'rue', 'd', 'antibes', 'proche', 'Croisette');('pied', 'rue', 'Croisette');0
82;(('ET', 'EG'), ('nmod',));('pied', 'de', 'la', 'rue');('pied', 'rue');1
83;(('ET', 'EG'), ('nmod',));('aperçu', 'mer');('aperçu', 'mer');1
84;(('TOPONYME', 'ET'), ('case',));('proche', 'Croisette');('Croisette', 'proche');1
85;(('EG', 'TOPONYME', 'ET'), ('appos', 'case'));('rue', 'd', 'antibes', 'proche', 'Croisette');('rue', 'Croisette', 'proche');0
86;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'la', 'plage');('mètres', 'plage');1
87;(('ET', 'EG'), ('appos',));('m', 'Centre ville');('m', 'Centre ville');1
88;(('TOPONYME', 'ET'), ('appos',));('Croisette', 'de', 'Cannes', ':', '4', 'km');('Croisette', 'km');1
89;(('EG', 'VERB', 'ET'), ('acl:relcl', 'obl:arg'));('Situation', 'géographique', 'excellente', 'par', 'rapport', 'à', 'le', 'nouveau', 'Pôle Universitaire', 'et', 'cinéma', 'de', 'Cannes la Bocca', 'qui', 'se', 'trouve', 'à', 'environ', '15', 'mn');('Situation', 'trouve', 'mn');1
90;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('A', 'proximité', ':', 'Plage');('Plage', 'A', 'proximité');1
91;(('EG', 'ET'), ('appos',));('Plage', ':', '50', 'mètres');('Plage', 'mètres');1
92;(('EG', 'ET'), ('appos',));('Plage', ':', '50', 'mètres', '(', 'accès');('Plage', 'accès');1
93;(('EG', 'ET'), ('appos',));('Arrêt de bus', '(', 'Place', 'de', 'le', 'marché', 'Lignes 1,2', 'et', 'Palm Express', 'A', ')', ':', '50', 'm');('Arrêt de bus', 'm');1
94;(('EG', 'ET', 'ET'), ('appos', 'nmod'));('Arrêt de bus', '(', 'Place', 'de', 'le', 'marché', 'Lignes 1,2', 'et', 'Palm Express', 'A', ')', ':', '50', 'm', 'Centre ville', 'en', '15', 'mins');('Arrêt de bus', 'm', 'mins');0
95;(('EG', 'ET'), ('appos',));('Gare', 'de', 'Cannes La Bocca', ':', '400', 'm');('Gare', 'm');1
96;(('EG', 'ET'), ('appos',));('Gare centrale', 'de', 'Cannes', ':', '3', 'km');('Gare centrale', 'km');1
97;(('ET', 'TOPONYME'), ('nmod',));('pres', 'de', 'le', 'polygone riviera');('pres', 'polygone riviera');1
98;(('ET', 'EG', 'TOPONYME'), ('conj', 'nmod'));('pres', 'de', 'le', 'polygone riviera', 'mais', 'sur', 'la', 'commune', 'de', 'st paul de vence');('pres', 'commune', 'st paul de vence');0
99;(('ET', 'EG'), ('conj',));('pres', 'de', 'le', 'polygone riviera', 'mais', 'sur', 'la', 'commune');('pres', 'commune');0
100;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'le', 'parking public');('Proche', 'parking public');1
101;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'de', 'le', 'parking public', 'et', 'de', 'tous', 'commerces');('Proche', 'parking public', 'commerces');1
102;(('ET', 'EG'), ('nmod',));('coeur', 'd', 'un', 'quartier');('coeur', 'quartier');1
103;(('ET', 'EG', 'EG'), ('nmod', 'appos'));('coeur', 'd', 'un', 'quartier', 'moteur', 'de', 'la', 'transformation', 'urbaine', 'de', 'Nice', ':', 'le', 'quartier');('coeur', 'quartier', 'quartier');0
104;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'la', 'vieille ville');('Proche', 'vieille ville');1
105;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'de', 'la', 'vieille ville', 'et', 'de', 'le', 'port');('Proche', 'vieille ville', 'port');1
106;(('EG', 'EG', 'ET'), ('appos', 'acl'));('quartier', 'moteur', 'de', 'la', 'transformation', 'urbaine', 'de', 'Nice', ':', 'le', 'quartier', 'Vauban', '.', '.', 'Proche');('quartier', 'quartier', 'Proche');0
107;(('EG', 'ET'), ('acl',));('quartier', 'Vauban', '.', '.', 'Proche');('quartier', 'Proche');0
108;(('EG', 'VERB', 'ET'), ('acl:relcl', 'obl:arg'));('ligne 1', 'de', 'le', 'tram', 'qui', 'arrive', 'à', 'le', 'pied');('ligne 1', 'arrive', 'pied');1
109;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('pas', 'de', 'le', 'Festival', 'de', 'Cannes');('pas', 'Festival', 'Cannes');0
110;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('pas', 'de', 'le', 'Festival', 'de', 'Cannes', ',', 'de', 'le', 'Carré d Or');('pas', 'Festival', 'Carré d Or');1
111;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('m', 'de', 'la', 'plage', 'de', 'la Croisette');('m', 'plage', 'la Croisette');0
112;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'Festival');('pas', 'Festival');1
113;(('ET', 'EG'), ('nmod',));('m', 'de', 'la', 'plage');('m', 'plage');1
114;(('EG', 'ET'), ('conj',));('Festival', 'de', 'Cannes', ',', 'de', 'le', 'Carré d Or', 'et', 'à', '200', 'm');('Festival', 'm');0
115;(('ET', 'TOPONYME'), ('nmod',));('cœur', 'de', 'Cimiez');('cœur', 'Cimiez');1
116;(('ET', 'EG'), ('nmod',));('cœur', 'de', 'Cimiez', ',', 'dans', 'rue');('cœur', 'rue');0
117;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('vue', 'imprenable', 'à', '360', 'degrés', 'sur', 'les', 'îles', 'de', 'Lerins');('vue', 'îles', 'Lerins');0
118;(('ET', 'EG'), ('nmod',));('front', 'de', 'mer');('front', 'mer');1
119;(('ET', 'VERB', 'EG'), ('acl', 'obj'));('front', 'de', 'mer', 'sis', 'pointe');('front', 'sis', 'pointe');0
120;(('ET', 'EG'), ('nmod',));('vue', 'imprenable', 'à', '360', 'degrés', 'sur', 'les', 'îles');('vue', 'îles');1
121;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'imprenable', 'à', '360', 'degrés', 'sur', 'les', 'îles', 'de', 'Lerins', ',', 'Cannes', ',', 'le', 'massif');('vue', 'îles', 'massif');1
122;(('ET', 'TOPONYME'), ('nmod',));('proximité', 'de', 'la', 'Croisette');('proximité', 'Croisette');1
123;(('ET', 'TOPONYME', 'TOPONYME'), ('nmod', 'conj'));('proximité', 'de', 'la', 'Croisette', 'et', 'de', 'le', 'Palais de les Congrès');('proximité', 'Croisette', 'Palais de les Congrès');1
124;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('vue', 'imprenable', 'sur', 'les', 'îles', 'de', 'Lerins');('vue', 'îles', 'Lerins');0
125;(('ET', 'EG'), ('nmod',));('vue', 'imprenable', 'sur', 'les', 'îles');('vue', 'îles');1
126;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
127;(('ET', 'TOPONYME'), ('nmod',));('dessus', 'de', 'Monaco');('dessus', 'Monaco');1
128;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('vues', 'pittoresques', 'sur', 'la', 'mer', 'Méditerranée');('vues', 'mer', 'Méditerranée');0
129;(('ET', 'EG', 'TOPONYME'), ('nmod', 'conj'));('vues', 'pittoresques', 'sur', 'la', 'mer', 'Méditerranée', 'et', 'sur', 'Monaco');('vues', 'mer', 'Monaco');1
130;(('ET', 'EG'), ('appos',));('Vue', 'mer');('Vue', 'mer');1
131;(('ET', 'EG'), ('nmod',));('vues', 'pittoresques', 'sur', 'la', 'mer');('vues', 'mer');1
132;(('ET', 'EG'), ('nmod',));('minutes', 'à', 'pied', 'de', 'les', 'arrêts de bus');('minutes', 'arrêts de bus');1
133;(('ET', 'EG'), ('nmod',));('m', 'de', 'les', 'écoles');('m', 'écoles');1
134;(('ET', 'EG'), ('appos',));('m', 'de', 'les', 'écoles', ',', 'mairie');('m', 'mairie');1
135;(('ET', 'EG', 'EG'), ('appos', 'conj'));('m', 'de', 'les', 'écoles', ',', 'mairie', ',', 'poste');('m', 'mairie', 'poste');1
136;(('ET', 'EG'), ('nmod',));('m', 'de', 'les', 'commerces');('m', 'commerces');1
137;(('ET', 'EG'), ('nmod',));('m', 'de', 'les', 'plages');('m', 'plages');1
138;(('EG', 'ET'), ('root',));('m', 'de', 'les', 'écoles', ',', 'mairie', ',', 'poste', '.', 'à', '400', 'm', 'de', 'les', 'commerces', '.', 'à', '450', 'm', 'de', 'les', 'plages');('plages', 'm');0
139;(('EG', 'ET'), ('nmod',));('mairie', ',', 'poste', '.', 'à', '400', 'm');('mairie', 'm');0
140;(('EG', 'ET'), ('nmod',));('mairie', ',', 'poste', '.', 'à', '400', 'm', 'de', 'les', 'commerces', '.', 'à', '450', 'm');('mairie', 'm');0
141;(('EG', 'ET'), ('nmod',));('commerces', 'à', 'proximité');('commerces', 'proximité');1
142;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'la', 'mer');('vue', 'mer');1
143;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'dégagée', 'sur', 'la', 'mer', 'et', 'la', 'montagne');('vue', 'mer', 'montagne');1
144;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
145;(('TOPONYME', 'EG', 'ET'), ('nmod', 'flat:name'));('ANTIBES', 'CENTRE', 'PROCHE');('ANTIBES', 'CENTRE', 'PROCHE');0
146;(('EG', 'ET'), ('flat:name',));('CENTRE', 'PROCHE');('CENTRE', 'PROCHE');1
147;(('ET', 'TOPONYME'), ('nmod',));('mètres', 'de', 'le', 'Palais de les Festivals');('mètres', 'Palais de les Festivals');1
148;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'Cannes');('coeur', 'Cannes');1
149;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('mètres', 'de', 'le', 'Palais de les Festivals', 'et', 'de', 'les', 'plages');('mètres', 'Palais de les Festivals', 'plages');1
150;(('ET', 'EG'), ('nmod',));('proximité', 'd', 'un', 'parking public');('proximité', 'parking public');1
151;(('EG', 'ET'), ('nmod',));('centre ville', 'à', '200', 'mètres');('centre ville', 'mètres');1
152;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('commerces', 'a', 'proximité');('commerces', 'a', 'proximité');1
153;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'Ville');('pas', 'Ville');1
154;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'Ville');('pas', 'Ville');1
155;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('vue', 'panoramique', 'sur', 'le', 'village', 'de', 'Bar sur Loup');('vue', 'village', 'Bar sur Loup');0
156;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'de', 'le', 'village', 'de', 'Châteauneuf');('minutes', 'village', 'Châteauneuf');0
157;(('ET', 'EG'), ('nmod',));('vue', 'panoramique', 'sur', 'le', 'village');('vue', 'village');1
158;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'panoramique', 'sur', 'le', 'village', 'de', 'Bar sur Loup', 'et', 'les', 'Gorges');('vue', 'village', 'Gorges');1
159;(('ET', 'EG'), ('nmod',));('minutes', 'de', 'le', 'village');('minutes', 'village');1
160;(('TOPONYME', 'ADJ', 'ET'), ('amod', 'obl:mod'));('Châteauneuf', 'Grasse', 'Bastide', 'ancienne', 'avec', 'vue');('Châteauneuf', 'ancienne', 'vue');0
161;(('EG', 'VERB', 'ET'), ('root', 'conj'));('offre', 'une', 'vie', 'privée', 'à', 'l', 'abri', 'de', 'tout', 'regard', ',', 'mais', 'à', 'quelques', 'minutes', 'de', 'le', 'village', 'de', 'Châteauneuf', ',', 'ses', 'restaurants', 'et', 'son', 'marché');('marché', 'offre', 'minutes');0
162;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'le ROURET');('coeur', 'le ROURET');1
163;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
164;(('ET', 'EG'), ('flat:name',));('Vue', 'mer');('Vue', 'mer');1
165;(('TOPONYME', 'ET'), ('nmod',));('Cap d Antibes', 'Propriété', 'avec', 'magnifique', 'vue');('Cap d Antibes', 'vue');0
166;(('EG', 'ET'), ('nmod',));('mer', 'Vue');('mer', 'Vue');0
167;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'appos'));('Proche', 'de', 'le', 'Port', 'Canto');('Proche', 'Port', 'Canto');0
168;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'le', 'Port');('Proche', 'Port');1
169;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
170;(('EG', 'ET'), ('nmod',));('VUE', 'MER');('MER', 'VUE');1
171;(('ET', 'EG'), ('flat:name',));('PROCHE', 'CENTRE');('PROCHE', 'CENTRE');1
172;(('TOPONYME', 'ET'), ('appos',));('CIMIEZ', 'PROCHE');('CIMIEZ', 'PROCHE');0
173;(('ET', 'EG'), ('nmod',));('Vue', 'mer');('Vue', 'mer');1
174;(('EG', 'ET'), ('nmod',));('Arrière pays cannois', 'Vue');('Arrière pays cannois', 'Vue');0
175;(('ET', 'EG'), ('obj',));('Proche', 'toutes', 'commodités');('Proche', 'commodités');1
176;(('ET', 'EG', 'EG'), ('obj', 'appos'));('Proche', 'toutes', 'commodités', '(', 'cinéma');('Proche', 'commodités', 'cinéma');0
177;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('min', 'de', 'la', 'gare', 'de', 'Riquier');('min', 'gare', 'Riquier');0
178;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('proche', 'place', 'Saint Roch');('proche', 'place', 'Saint Roch');0
179;(('ET', 'EG'), ('nmod',));('min', 'de', 'la', 'gare');('min', 'gare');1
180;(('ET', 'ET', 'EG'), ('appos', 'nmod'));('min', 'de', 'la', 'gare', 'de', 'Riquier', ',', 'proche', 'place');('min', 'proche', 'place');0
181;(('ET', 'EG'), ('nmod',));('proche', 'place');('proche', 'place');1
182;(('ET', 'EG'), ('nmod',));('VUE', 'MER');('VUE', 'MER');1
183;(('ET', 'EG'), ('flat:name',));('VUE', 'MER');('VUE', 'MER');1
184;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
185;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'tous', 'les', 'commerces');('proche', 'commerces');1
186;(('ET', 'MD', 'EG'), ('nmod', 'nmod'));('mn', 'à', 'pied', 'de', 'le', 'tramway');('mn', 'pied', 'tramway');1
187;(('ET', 'MD', 'EG'), ('nmod', 'nmod'));('mn', 'en', 'voiture', 'de', 'l', 'autoroute');('mn', 'voiture', 'autoroute');1
188;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('Début', 'Route', 'de', 'Bellet');('Début', 'Route', 'Bellet');0
189;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('min', 'à', 'pied', 'Fac', 'de', 'les Lettres');('min', 'Fac', 'les Lettres');0
190;(('ET', 'EG'), ('nmod',));('Début', 'Route');('Début', 'Route');1
191;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('Début', 'Route', 'de', 'Bellet', ',', '10', 'min', 'à', 'pied', 'Fac', 'de', 'les Lettres', ',', '19', 'm²', ',', 'séjour', '.', 'kitchenete', 'équipée', ',', 'salle', 'd', 'eau', 'avec', 'WC', ',', 'vue', 'ville', 'et', 'mer');('Début', 'Route', 'mer');0
192;(('ET', 'EG'), ('nmod',));('min', 'à', 'pied', 'Fac');('min', 'Fac');1
193;(('EG', 'ET'), ('conj',));('Route', 'de', 'Bellet', ',', '10', 'min');('Route', 'min');1
194;(('EG', 'ET'), ('conj',));('Route', 'de', 'Bellet', ',', '10', 'min', 'à', 'pied', 'Fac', 'de', 'les Lettres', ',', '19', 'm²', ',', 'séjour', '.', 'kitchenete', 'équipée', ',', 'salle', 'd', 'eau', 'avec', 'WC', ',', 'vue');('Route', 'vue');0
